뮤지컬실 사용대장 (1학기) ,,,,,,,뮤지컬실 사용대장 (2학기) ,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3.23~,월,화,수,목,금,,8.17~,월,화,수,목,금,,
1,2-3,1-2,,4G 가야금,2-1,,1,여름방학,여름방학,,3G 가야금,1-1,,"1.흰색으로 비어있는 칸에 적기(1회에 최대 5시간까지만!!)
   다른 학년과 학급을 배려해주세요ㅠㅠ"
2,2-4,1-3,,4G 가야금,2-3,,2,,,,3G 가야금,1-2,,
3,2-1,1-4,,4G 가야금,2-2,,3,,,,3G 가야금,1-3,,"2. 목요일 가야금 중간에 비어있는 시간은 사용 X
    (5교시까지 가야금 수업으로 악기가 나와 있음)"
"4(4,5,6G)",,,,4G 가야금,,,"4(4,5,6G)",,,,3G 가야금,,/+,
"4(1,2,3G)",2-2,1-1,,,2-4,,"4(1,2,3G)",,,,,1-4,,"3. 각 학급에서 잘~ 조율하여 사용 부탁드려요~
"
5,,,1-2,4G 가야금,,,5,,,,3G 가야금,,,
6,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
3.30~,월,화,수,목,금,,8.24~,월,화,수,목,금,,
1,2-3,1-2,,4G 가야금,2-1,,1,1-3,2-2,,3G 가야금,1-1,,
2,2-4,1-3,,4G 가야금,2-3,,2,1-4,2-3,,3G 가야금,1-2,,
3,2-1,1-4,1-1,4G 가야금,2-2,,3,1-1,2-4,,3G 가야금,1-3,,
"4(4,5,6G)",,,,4G 가야금,,,"4(4,5,6G)",,,,3G 가야금,,,
"4(1,2,3G)",2-2,1-1,,,2-4,,"4(1,2,3G)",1-2,2-1,,,1-4,,
5,,,1-2,4G 가야금,,,5,,,,3G 가야금,,,
6,6-2,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
4.6~,월,화,수,목,금,,8.31~,월,화,수,목,금,,
1,2-3,1-2,,4G 가야금,2-1,,1,1-3,2-2,,3G 가야금,1-1,,
2,2-4,1-3,,4G 가야금,2-3,,2,1-4,2-3,,3G 가야금,1-2,,
3,2-1,1-4,1-1,4G 가야금,2-2,,3,1-1,2-4,,3G 가야금,1-3,,
"4(4,5,6G)",,,,4G 가야금,,,"4(4,5,6G)",,,,3G 가야금,,,
"4(1,2,3G)",2-2,1-1,,,2-4,,"4(1,2,3G)",1-2,2-1,,,1-4,,
5,,,1-2,4G 가야금,,,5,,,,3G 가야금,,,
6,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
4.13~,월,화,수,목,금,,9.7~,월,화,수,목,금,,
1,2-3,1-2,,4G 가야금,2-1,,1,1-3,2-2,,3G 가야금,1-1,,
2,2-4,1-3,,4G 가야금,2-3,,2,1-4,2-3,,3G 가야금,1-2,,
3,2-1,1-4,,4G 가야금,2-2,,3,1-1,2-4,,3G 가야금,1-3,,
"4(4,5,6G)",,,,4G 가야금,,,"4(4,5,6G)",,,,3G 가야금,,,
"4(1,2,3G)",2-2,1-1,,,2-4,,"4(1,2,3G)",1-2,2-1,,,1-4,,
5,,,,4G 가야금,,,5,,,,3G 가야금,,,
6,,,,,,,6,6-2,,,,,,
,,,,,,,,,,,,,,
4.20~,월,화,수,목,금,,9.14~,월,화,수,목,금,,
1,2-3,1-2,,4G 가야금,2-1,,1,1-3,2-2,,3G 가야금,1-1,,
2,2-4,1-3,,4G 가야금,2-3,,2,1-4,2-3,,3G 가야금,1-2,,
3,2-1,1-4,1-2,4G 가야금,2-2,,3,1-1,2-4,,3G 가야금,1-3,,
"4(4,5,6G)",,,,4G 가야금,,,"4(4,5,6G)",,,,3G 가야금,,,
"4(1,2,3G)",2-2,1-1,,,2-4,,"4(1,2,3G)",1-2,2-1,,,1-4,,
5,,,,4G 가야금,,,5,,,,3G 가야금,,,
6,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
4.27~,월,화,수,목,금,,9.21~,월,화,수,목,금,,
1,2-3,1-2,,4G 가야금,2-1,,1,1-3,2-2,,3G 가야금,1-1,,
2,2-4,1-3,,4G 가야금,2-3,,2,1-4,2-3,,3G 가야금,1-2,,
3,2-1,1-4,,4G 가야금,2-2,,3,1-1,2-4,,3G 가야금,1-3,,
"4(4,5,6G)",,,,4G 가야금,,,"4(4,5,6G)",,,,3G 가야금,,,
"4(1,2,3G)",2-2,1-1,,,2-4,,"4(1,2,3G)",1-2,2-1,,,1-4,,
5,,,6-1,4G 가야금,,,5,,,,3G 가야금,,,
6,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5.4~,월,화,수,목,금,,9.21~,월,화,수,목,금,,
1,2-3,1-2,,4G 가야금,2-1,,1,1-3,2-2,,3G 가야금,1-1,,
2,2-4,1-3,,4G 가야금,2-3,,2,1-4,2-3,,3G 가야금,1-2,,
3,2-1,1-4,,4G 가야금,2-2,,3,1-1,2-4,,3G 가야금,1-3,,
"4(4,5,6G)",,,,4G 가야금,,,"4(4,5,6G)",,,,3G 가야금,,,
"4(1,2,3G)",2-2,1-1,,,2-4,,"4(1,2,3G)",1-2,2-1,,,1-4,,
5,,,6-1,4G 가야금,,,5,,,,3G 가야금,,,
6,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
5.11~,월,화,수,목,금,,9.24~,월,화,수,목,금,,
1,2-3,1-2,,4G 가야금,2-1,,1,1-3,2-2,,추석연휴,추석연휴,,
2,2-4,1-3,,4G 가야금,2-3,,2,1-4,2-3,,,,,
3,2-1,1-4,,4G 가야금,2-2,,3,1-1,2-4,,,,,
"4(4,5,6G)",,,,4G 가야금,,,"4(4,5,6G)",,,,,,,
"4(1,2,3G)",2-2,1-1,,,2-4,,"4(1,2,3G)",1-2,2-1,,,,,
5,,,6-1,4G 가야금,,,5,,,,,,,
6,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
5.18~,월,화,수,목,금,,9.28~,월,화,수,목,금,,
1,2-3,1-2,,4G 가야금,2-1,,1,1-3,2-2,,3G 가야금,1-1,,
2,2-4,1-3,,4G 가야금,2-3,,2,1-4,2-3,,3G 가야금,1-2,,
3,2-1,1-4,,4G 가야금,2-2,,3,1-1,2-4,,3G 가야금,1-3,,
"4(4,5,6G)",,,,4G 가야금,,,"4(4,5,6G)",,,,3G 가야금,,,
"4(1,2,3G)",2-2,1-1,,,2-4,,"4(1,2,3G)",1-2,2-1,,,1-4,,
5,,,6-1,4G 가야금,,,5,,,,3G 가야금,,,
6,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
5.25~,월,화,수,목,금,,10.5~,월,화,수,목,금,,
1,2-3,1-2,,,2-1,,1,1-3,2-2,,3G 가야금,1-1,,
2,2-4,1-3,,,2-3,,2,1-4,2-3,,3G 가야금,1-2,,
3,2-1,1-4,,,2-2,,3,1-1,2-4,,3G 가야금,1-3,,
"4(4,5,6G)",,,,,,,"4(4,5,6G)",,,,3G 가야금,,,
"4(1,2,3G)",2-2,1-1,,,2-4,,"4(1,2,3G)",1-2,2-1,,,1-4,,
5,,,,,,,5,,,,3G 가야금,,,
6,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
6.1~,월,화,수,목,금,,10.12~,월,화,수,목,금,,
1,2-3,1-2,,,2-1,,1,1-3,2-2,,3G 가야금,1-1,,
2,2-4,1-3,,,2-3,,2,1-4,2-3,,3G 가야금,1-2,,
3,2-1,1-4,,,2-2,,3,1-1,2-4,,3G 가야금,1-3,,
"4(4,5,6G)",,,,,,,"4(4,5,6G)",,,,3G 가야금,,,
"4(1,2,3G)",2-2,1-1,,,2-4,,"4(1,2,3G)",1-2,2-1,,,1-4,,
5,,,,,,,5,,,,3G 가야금,,,
6,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
6.8~,월,화,수,목,금,,10.19~,월,화,수,목,금,,
1,2-3,1-2,,,2-1,,1,1-3,2-2,,3G 가야금,1-1,,
2,2-4,1-3,,,2-3,,2,1-4,2-3,,3G 가야금,1-2,,
3,2-1,1-4,,,2-2,,3,1-1,2-4,,3G 가야금,1-3,,
"4(4,5,6G)",,,,,,,"4(4,5,6G)",,,,3G 가야금,,,
"4(1,2,3G)",2-2,1-1,,,2-4,,"4(1,2,3G)",1-2,2-1,,,1-4,,
5,,,,,,,5,,,,3G 가야금,,,
6,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
6.15~,월,화,수,목,금,,10.26~,월,화,수,목,금,,
1,2-3,1-2,,,2-1,,1,1-3,2-2,,3G 가야금,1-1,,
2,2-4,1-3,,,2-3,,2,1-4,2-3,,3G 가야금,1-2,,
3,2-1,1-4,,,2-2,,3,1-1,2-4,,3G 가야금,1-3,,
"4(4,5,6G)",,,,,,,"4(4,5,6G)",,,,3G 가야금,,,
"4(1,2,3G)",2-2,1-1,,,2-4,,"4(1,2,3G)",1-2,2-1,,,1-4,,
5,,,,,,,5,,,,3G 가야금,,,
6,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
6.22~,월,화,수,목,금,,11.2~,월,화,수,목,금,,
1,2-3,1-2,,,2-1,,1,1-3,2-2,,,1-1,,
2,2-4,1-3,,,2-3,,2,1-4,2-3,,,1-2,,
3,2-1,1-4,,,2-2,,3,1-1,2-4,,,1-3,,
"4(4,5,6G)",,,,,,,"4(4,5,6G)",,,,,,,
"4(1,2,3G)",2-2,1-1,,,2-4,,"4(1,2,3G)",1-2,2-1,,,1-4,,
5,,,,,,,5,,,,,,,
6,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
6.29~,월,화,수,목,금,,11.9~,월,화,수,목,금,,
1,2-3,1-2,,,2-1,,1,1-3,2-2,,,1-1,,
2,2-4,1-3,,,2-3,,2,1-4,2-3,,,1-2,,
3,2-1,1-4,,,2-2,,3,1-1,2-4,,,1-3,,
"4(4,5,6G)",,,,,,,"4(4,5,6G)",,,,,,,
"4(1,2,3G)",2-2,1-1,,,2-4,,"4(1,2,3G)",1-2,2-1,,,1-4,,
5,,,,,,,5,,,,,,,
6,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
7.6~,월,화,수,목,금,,11.16~,월,화,수,목,금,,
1,2-3,1-2,,,2-1,,1,1-3,2-2,,,1-1,,
2,2-4,1-3,,,2-3,,2,1-4,2-3,,,1-2,,
3,2-1,1-4,,,2-2,,3,1-1,2-4,,,1-3,,
"4(4,5,6G)",,,,,,,"4(4,5,6G)",,,,,,,
"4(1,2,3G)",2-2,1-1,,,2-4,,"4(1,2,3G)",1-2,2-1,,,1-4,,
5,,,,,,,5,,,,,,,
6,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
7.13~,월,화,수,목,금,,11.23~,월,화,수,목,금,,
1,2-3,1-2,,,2-1,,1,1-3,2-2,,,1-1,,
2,2-4,1-3,,,2-3,,2,1-4,2-3,,,1-2,,
3,2-1,1-4,,,2-2,,3,1-1,2-4,,,1-3,,
"4(4,5,6G)",,,,,,,"4(4,5,6G)",,,,,,,
"4(1,2,3G)",2-2,1-1,,,2-4,,"4(1,2,3G)",1-2,2-1,,,1-4,,
5,,,,,,,5,,,,,,,
6,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
7.20~,월,화,수,목,금,,11.30~,월,화,수,목,금,,
1,2-3,1-2,,여름방학,여름방학,,1,1-3,2-2,,,1-1,,
2,2-4,1-3,,,,,2,1-4,2-3,,,1-2,,
3,2-1,1-4,,,,,3,1-1,2-4,,,1-3,,
"4(4,5,6G)",,,,,,,"4(4,5,6G)",,,,,,,
"4(1,2,3G)",2-2,1-1,,,,,"4(1,2,3G)",1-2,2-1,,,1-4,,
5,,,,,,,5,,,,,,,
6,6-2,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,12.7~,월,화,수,목,금,,
,,,,,,,1,1-3,2-2,,,1-1,,
,,,,,,,2,1-4,2-3,,,1-2,,
,,,,,,,3,1-1,2-4,,,1-3,,
,,,,,,,"4(4,5,6G)",,,,,,,
,,,,,,,"4(1,2,3G)",1-2,2-1,,,1-4,,
,,,,,,,5,,,,,,,
,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,12.14~,월,화,수,목,금,,
,,,,,,,1,1-3,2-2,,,1-1,,
,,,,,,,2,1-4,2-3,,,1-2,,
,,,,,,,3,1-1,2-4,,,1-3,,
,,,,,,,"4(4,5,6G)",,,,,,,
,,,,,,,"4(1,2,3G)",1-2,2-1,,,1-4,,
,,,,,,,5,,,,,,,
,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,12.21~,월,화,수,목,금,,
,,,,,,,1,1-3,2-2,,,겨울방학,,
,,,,,,,2,1-4,2-3,,,,,
,,,,,,,3,1-1,2-4,,,,,
,,,,,,,"4(4,5,6G)",,,,,,,
,,,,,,,"4(1,2,3G)",1-2,2-1,,,,,
,,,,,,,5,,,,,,,
,,,,,,,6,6-2,,,,,,
,,,,,,,,,,,,,,
,,,,,,,2.1~,월,화,수,목,금,,
,,,,,,,1,1-3,2-2,,,1-1,,
,,,,,,,2,1-4,2-3,,,1-2,,
,,,,,,,3,1-1,2-4,,,1-3,,
,,,,,,,"4(4,5,6G)",,,,,,,
,,,,,,,"4(1,2,3G)",1-2,2-1,,,1-4,,
,,,,,,,5,,,,,,,
,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,2.8~,월,화,수,목,금,,
,,,,,,,1,설연휴,설연휴,,종업식,,,
,,,,,,,2,,,,,,,
,,,,,,,3,,,,,,,
,,,,,,,"4(4,5,6G)",,,,,,,
,,,,,,,"4(1,2,3G)",,,,,,,
,,,,,,,5,,,,,,,
,,,,,,,6,,,,,,,
